"","x"
"1",107
"2",97
"3",102
"4",87
"5",119
"6",106
"7",110
"8",106
"9",107
"10",134
"11",147
"12",180
"13",125
"14",134
"15",110
"16",102
"17",103
"18",111
"19",120
"20",129
"21",122
"22",183
"23",169
"24",190
"25",134
"26",108
"27",104
"28",117
"29",157
"30",148
"31",130
"32",140
"33",136
"34",140
"35",187
"36",150
"37",159
"38",143
"39",114
"40",127
"41",159
"42",156
"43",138
"44",120
"45",117
"46",170
"47",168
"48",198
"49",144
"50",146
"51",109
"52",131
"53",151
"54",140
"55",153
"56",140
"57",161
"58",168
"59",152
"60",136
"61",113
"62",100
"63",103
"64",103
"65",121
"66",134
"67",133
"68",129
"69",144
"70",154
"71",156
"72",163
"73",122
"74",92
"75",117
"76",95
"77",96
"78",108
"79",108
"80",106
"81",140
"82",114
"83",158
"84",161
"85",102
"86",127
"87",125
"88",101
"89",97
"90",112
"91",112
"92",113
"93",108
"94",128
"95",154
"96",162
"97",112
"98",79
"99",82
"100",127
"101",108
"102",110
"103",123
"104",103
"105",97
"106",140
"107",165
"108",183
"109",148
"110",111
"111",116
"112",115
"113",100
"114",106
"115",134
"116",125
"117",117
"118",122
"119",153
"120",178
"121",114
"122",94
"123",128
"124",119
"125",111
"126",110
"127",114
"128",118
"129",115
"130",132
"131",153
"132",171
"133",115
"134",95
"135",92
"136",100
"137",95
"138",114
"139",102
"140",104
"141",132
"142",136
"143",117
"144",137
"145",111
"146",106
"147",98
"148",84
"149",94
"150",105
"151",123
"152",109
"153",130
"154",153
"155",134
"156",99
"157",115
"158",104
"159",131
"160",108
"161",103
"162",115
"163",122
"164",122
"165",125
"166",137
"167",138
"168",152
"169",120
"170",95
"171",100
"172",89
"173",82
"174",89
"175",60
"176",84
"177",113
"178",126
"179",122
"180",118
"181",92
"182",86
"183",81
"184",84
"185",87
"186",90
"187",79
"188",96
"189",122
"190",120
"191",137
"192",154
