"","x"
"1",2
"2",3
"3",4
"4",1
"5",6
"6",9
"7",12
"8",8
"9",5
"10",7
"11",11
"12",9
"13",6
"14",6
"15",9
"16",6
"17",12
"18",8
"19",7
"20",5
"21",10
"22",12
"23",12
"24",9
"25",12
"26",8
"27",9
"28",14
"29",5
"30",5
"31",9
"32",14
"33",8
"34",10
"35",16
"36",13
"37",12
"38",10
"39",7
"40",9
"41",6
"42",8
"43",6
"44",4
"45",6
"46",6
"47",11
"48",8
"49",10
"50",11
"51",13
"52",5
"53",6
"54",3
"55",4
"56",8
"57",2
"58",7
"59",12
"60",12
"61",14
"62",12
"63",7
"64",7
"65",8
"66",7
"67",7
"68",3
"69",5
"70",5
"71",10
"72",7
"73",8
"74",13
"75",13
"76",11
"77",12
"78",6
"79",8
"80",4
"81",7
"82",6
"83",9
"84",14
"85",11
"86",11
"87",15
"88",22
"89",17
"90",5
"91",10
"92",12
"93",16
"94",6
"95",16
"96",11
"97",13
"98",15
"99",20
"100",55
"101",47
"102",28
"103",16
"104",21
"105",15
"106",9
"107",19
"108",20
"109",16
"110",14
"111",24
"112",16
"113",33
"114",19
"115",21
"116",18
"117",10
"118",17
"119",12
"120",15
"121",19
"122",18
"123",9
"124",8
"125",25
"126",17
"127",13
"128",21
"129",11
"130",12
"131",10
"132",13
"133",5
"134",7
"135",13
"136",17
"137",16
"138",21
"139",16
"140",9
